,means_cv,stds_cv,folds_cv
0,0.8432432432432433,0.25076146432758917,148
1,0.842536475869809,0.21006109925344504,99
2,0.8436993243243244,0.18275087955776126,74
3,0.8432090395480226,0.16308604113547073,59
4,0.843367231638418,0.14942355108678576,50
5,0.8437257045675413,0.13684397479248947,42
6,0.8446509009009009,0.12579363914304703,37
7,0.8444818555929665,0.11842788784237135,33
8,0.8433370744481857,0.11411795074950438,30
9,0.8435261707988978,0.10530459336772334,27
10,0.8433872624550591,0.10334708933395721,25
11,0.8431291211877664,0.09718145564277941,23
12,0.8442466348241425,0.09417733107494208,21
13,0.8441023166023166,0.09377881562592164,20
14,0.8431553643724695,0.08953396686051146,19
15,0.8438619982588481,0.08463097612059656,17
16,0.8433854907539119,0.08232563339120393,16
17,0.8432961190855928,0.07941454245261832,15
18,0.8433324873688756,0.07743405370431113,14
19,0.8429787222693401,0.07461796600773897,13
20,0.8428638101664417,0.07145201222683448,12
21,0.8426736500810574,0.06893295258341291,11
22,0.8428991060025544,0.06463060017723037,10
23,0.8425364758698093,0.06124460546609223,9
24,0.8424021712874742,0.05605016948519046,8
25,0.841472196601326,0.05407509540920242,7
26,0.8401577681577681,0.050597342633684,6
27,0.8397408168312123,0.04556008437181463,5
28,0.8378459119496855,0.04003793546454762,4
29,0.8339557188042037,0.03377459406298896,3
30,0.8250841598157036,0.023027359451614927,2
